Voltage,Pressure
2,7.5E-07
2.05,6.20E-05
2.1,1.7E-04
2.2,3.75E-04
2.4,8.10E-04
2.6,1.26E-03
2.8,1.95E-03
3,2.88E-03
3.2,3.86E-03
3.4,5.15E-03
3.6,7.88E-03
3.8,1.17E-02
4,1.58E-02
4.2,2.08E-02
4.4,2.59E-02
4.6,3.12E-02
4.8,3.78E-02
5,4.44E-02
5.2,6.56E-02
5.4,9.53E-02
5.6,1.28E-01
5.8,1.67E-01
6,2.18E-01
6.2,2.68E-01
6.4,3.26E-01
6.6,4.00E-01
6.8,4.80E-01
7,5.75E-01
7.2,6.92E-01
7.4,8.55E-01
7.6,1.05
7.8,1.25
8,1.44
8.2,1.79
8.4,2.21
8.6,2.63
8.8,3.13
9,4.05
9.2,5.30
9.4,7.27
9.5,9.68
9.6,1.24E+01
9.7,1.55E+01
9.8,2.54E+01
9.9,4.74E+01
9.95,1.08E+02
10,7.5E+02
