Voltage,Pressure
2,7.50E-06
2.05,1.73E-04
2.1,4.66E-04
2.2,1.02E-03
2.4,2.23E-03
2.6,3.46E-03
2.8,4.88E-03
3,7.65E-03
3.2,1.10E-02
3.4,1.43E-02
3.6,2.21E-02
3.8,3.12E-02
4,4.21E-02
4.2,5.40E-02
4.4,6.71E-02
4.6,8.48E-02
4.8,1.09E-01
5,1.32E-01
5.2,1.67E-01
5.4,2.37E-01
5.6,3.10E-01
5.8,4.05E-01
6,5.12E-01
6.2,6.31E-01
6.4,7.95E-01
6.6,9.98E-01
6.8,1.2
7,1.4
7.2,1.7
7.4,2.06
7.6,2.43
7.8,2.8
8,3.29
8.2,3.97
8.4,4.7
8.6,5.72
8.8,7.04
9,9.53
9.2,1.25E+01
9.4,1.68E+01
9.5,2.16E+01
9.6,2.65E+01
9.7,3.36E+01
9.8,4.99E+01
9.9,1.06E+02
9.95,4.62E+02
10,7.50E+02
